Date,Category,Title,Link
2026-04-27 04:00:00,Anasayfa,İsrail Lübnan’da ateşkes ne bilmiyor,https://www.hurriyet.com.tr/dunya/israil-lubnanda-ateskes-ne-bilmiyor-43160038
2026-04-26 06:13:00,Anasayfa,Kalbi koruyan 7 lezzet: Kalp sağlığınızı korumak için bunları diyetinize ekleyin,https://www.hurriyet.com.tr/aile/galeri-kalbi-koruyan-7-lezzet-kalp-sagliginizi-korumak-icin-bunlari-diyetinize-ekleyin-43157577
2026-04-26 04:00:00,Anasayfa,Türkiye’nin faili meçhul haritası çıkarıldı... 75 ilde 638 dosya yeniden açıldı,https://www.hurriyet.com.tr/gundem/turkiyenin-faili-mechul-haritasi-cikarildi-75-ilde-638-dosya-yeniden-acildi-43159453
2026-04-27 14:56:00,Anasayfa,"Bolu'da 2 aylık bebeğini boğazını keserek öldürdü! Kan donduran olayda yeni detaylar: 'Bebeğe bir şey oldu, ben evden gidiyorum'",https://www.hurriyet.com.tr/gundem/boluda-kan-donduran-olay-2-aylik-bebegini-bogazini-keserek-oldurdu-acili-baba-fenalasarak-hastaneye-kaldirildi-43160628
2026-04-27 14:49:05,Anasayfa,BM Genel Sekreteri Guterres'ten nükleer tehlike uyarısı,https://www.hurriyet.com.tr/dunya/bm-genel-sekreteri-guterresten-nukleer-tehlike-uyarisi-43160623
2026-04-27 14:55:16,Anasayfa,Güney Sudan'da yolcu uçağı düştü: Çok sayıda ölü var,https://www.hurriyet.com.tr/dunya/guney-sudanda-yolcu-ucagi-dustu-cok-sayida-olu-var-43160629
2026-04-27 12:31:48,Anasayfa,Shakira'nın konser hazırlığı bir can aldı,https://www.hurriyet.com.tr/kelebek/televizyon/shakiranin-konser-hazirligi-bir-can-aldi-43160504
2026-04-27 12:33:04,Anasayfa,Bursa'da korkunç olay! Park edip uyudukları otomobilin arka koltuğunda ölü bulundu,https://www.hurriyet.com.tr/gundem/bursada-korkunc-olay-park-edip-uyuduklari-otomobilin-arka-koltugunda-olu-bulundu-43160505
2026-04-27 12:27:13,Anasayfa,"Almanya, Hürmüz Boğazı'na asker gönderme şartını açıkladı",https://www.hurriyet.com.tr/dunya/almanya-hurmuz-bogazina-asker-gonderme-sartini-acikladi-43160487
2026-04-27 23:54:52,Gündem,"Boğaz'da faciaya kıl payı! Gemi, yalıya metreler kala karaya oturdu",https://www.hurriyet.com.tr/gundem/bogazda-faciaya-kil-payi-gemi-yaliya-metreler-kala-karaya-oturdu-43160822
2026-04-27 20:11:03,Gündem,Artvin’de hafif ticari araç ile kamyonet çarpıştı: 7 yaralı,https://www.hurriyet.com.tr/gundem/artvinde-hafif-ticari-arac-ile-kamyonet-carpisti-7-yarali-43160754
2026-04-27 19:57:00,Gündem,"Bakanlıktan ""hastanelerin satıldığına"" dair iddialarına açıklama",https://www.hurriyet.com.tr/gundem/bakanliktan-hastanelerin-satildigina-dair-iddialarina-aciklama-43160745
